CATEGORY,COLORS,DESCRIPTION,DURATION,ID,IMAGE URL,NAME,NOISE,PRICE,PRICE_PER_KG,PRICE_PER_SECOND,PRICE_PER_SHOT,SECONDS_PER_SHOT,SHOTS,VIDEO URL,VISUAL,WEIGHT
10,"Rauður, Hvítur, Fjólublár, Grænn, Blár, Gull","Samsett, taktföst, litrík kaka sem eykur hraðann eftir því sem á líður. Rauðar stjörnur með brakandi leifturljósi, hvítir pálmar með fjólubláu bliki. Rauðar, grænar og bláar stjörnur. Gulllituð blóm með grænum endum og hvít blóm með rauðum endum. Grænar og rauðar stjörnur með leiftri. Rauðar og fjólubláar stjörnur með leiftri. Gulllitað stjörnuregn með blossum.",120,171004,https://images.prismic.io/landsbjorg-www/90172228-f961-476c-8ffd-04728b3aa5d0_Flugeldar+%3D+V%27ig+H-skuldar+Hv%27it%27arnesgo%5Ba.png,Víg Höskuldar Hvítanesgoða,3,47500,4318.181818,395.8333333,182.6923077,0.4615384615,260,https://www.youtube.com/watch?v=fnNst7crA-Q,5,11.0
10,"Rauður, Grænn, Gull, Silfur",Magnaður blævængur sem burjar rólega með tignarlegum rauðum pálmum sem breytast fljótlega í græna. Eftir þetta æsist leikur þegar skothríðin beinist í tvær áttir með miklum gauragangi. Tertan endar á taktfastri skothríð með gull og silfur sprengingum. Gríðarlega flott vígaterta í anda Böðvars,70,211002,https://images.prismic.io/landsbjorg-www/39b831d8-9721-4a5f-8b76-6728fbf41377_Flugeldar+-+V%C3%ADg+B%C3%B6%C3%B0vars.png,Víg Böðvars Sigurðssonar,4,52900,4408.333333,755.7142857,534.3434343,0.7070707071,99,https://player.vimeo.com/video/657056052,5,12.0
10,"Gull, Silfur",Grettir er gríðarlega vígalegur þar sem hann þeytir frá sér öflugum gullpálmum með silfurendum. Leikur æsist þegar að við bætast silfursprengingar á enda gullsins með braki og brestum. Hann bætir svo um betur þegar fallegir gullormar þeytast upp og springa með miklum látum. Allt endar svo í meiriháttar silfurveislu sem fyllir himinn. Grettir er engu líkur.,65,221002,https://images.prismic.io/landsbjorg-www/b6682a1c-789e-4ec1-9ad8-f30b3416f711_Flugeldar+-+V%C3%ADg+Grettis.png,Víg Grettis Ásmundssonar,5,53900,3992.592593,829.2307692,539.0,0.65,100,https://player.vimeo.com/video/781434170,5,13.5
10,"Gull, Blár, Silfur","Gunnar byrjar rólega, þeytir upp fallegum settum af litfögrum örvum sem springa í stórar gylltar hvelfingar með blárri miðju. Síðan æsist leikur og silfur fyllir himinn með taktföstum fjölbreyttum sprengjum og endar á silfurregni. Gunnar er uppáhald margra og þessi verður það líka. Fögur er tertan!",95,221003,https://images.prismic.io/landsbjorg-www/89bfa8e9-40c8-4ba6-8b1b-b2ce8271fac0_Flugeldar+-+V%C3%ADg+Gunnars+2022.png,Víg Gunnars á Hlíðarenda,5,61900,4421.428571,651.5789474,793.5897436,1.217948718,78,https://player.vimeo.com/video/781434502,5,14.0
10,"Silfur, Gull",Byrjar á fallegum silfurhölum sem fer yfir í kröftugar en fallegar stórar sprengjur sem enda með íluormum sem skríðaupp himininn og fylla hann með gyltu regni. ,46,241002,https://images.prismic.io/landsbjorg-www/Z2BS9JbqstJ98kfk_L2345-V%C3%ADgG%C3%ADslaS%C3%BArssonar.png,Víg Gísla Súrssonar,4,65900,4393.333333,1432.608696,732.2222222,0.5111111111,90,https://player.vimeo.com/video/1026849707,5,15.0
10,"Rauður, Gull, Grænn, Silfur","Víg Skarphéðins tjaldar ekki til einnar nætur. 285 dúndurskot á tæpri tveimur og hálfri mínútu. Allt hefst á litskrúðum en hefðbundnum hvelfingum, á eftir kemur skothríð með rauðum blysum sem færast yfir í gullhala. Þá hefjast fallegir gullpálmar sem fylla himininn af brakandi stjörnum . Rautt og grænt þema til skiptis er næsti fasi og síðan endar þetta glæsilega sjónarspil í fallegum silfur og gulldrekum með braki og brestum. Vá!",140,221004,https://images.prismic.io/landsbjorg-www/58e0295b-8231-4d73-8893-91b62daaadbd_Flugeldar+-+V%C3%ADg+Skarph%C3%A9%C3%B0ins22.png,Víg Skarphéðins Njálssonar,4,66900,4460,477.8571429,234.7368421,0.4912280702,285,https://player.vimeo.com/video/781434381,5,15.0
10,"Gull, Rauður",Bergþóra er kröftug en um leið mjög skapstór blævængur. Hún dritar upp  til himna með  miklum látum fallega gullhala sem springa í rauðar og gylltar hvelfingar með feikna látum. Sannarlega kvenskörungur sem lætur mikið að sér kveða. ,65,221005,https://images.prismic.io/landsbjorg-www/9b8af652-64b3-4692-a248-e78d6237628e_Flugeldar+-+V%C3%ADg+Berg%C3%BE%C3%B3ru+2022.png,Víg Bergþóru Skarphéðinsdóttur,4,75900,4058.823529,1167.692308,759.0,0.65,100,https://player.vimeo.com/video/781434245,5,18.7
10,"Gulur, Blár, Grænn, Rauður, Silfur, Fjólublár","Samsett kaka sem skýtur ýmist upp þyrpingum af kúlum eða einni kúlu í einu. Silfurlitað brakandi stjörnuregn með gulum, bláum, grænum og rauðum kúlum. Blóm með gulum, bláum, grænum og rauðum endum. Silfraðir pálmar með brakandi stjörnuglitri. Rauð og græn blóm með brakandi leiftri. Fjólublá, rauð, græn og blá blóm með silfruðum pálmum. Eykur hraðann í lokinn og endar á silfurlituðum pálmum. Sannkölluð flugeldasýning.",130,171006,https://sulur.is/cdn/shop/products/171006_470x.jpg,Víg Hjörleifs Hróðmarssonar,4,89900,3745.833333,691.5384615,303.7162162,0.4391891892,296,https://www.youtube.com/watch?v=1B5QzCmVABI,5,24.0
10,"Gull, Rauður, Marglita",Þessi byrjar með gylltum ljósagangi með miklu braki og brestum en breytist fljótlega í flottar tívólíhvelfingar. Eftir það koma stakar bombur sem fylla himininn glæsileika. Nú mæta gylltir ormar sem fljótlega fara í rauða glæsilega sveiga. Aftur fer í gang magnaðar marglita bombur og fjölbreytnin er í aðalhlutverki. Hún endar síðan með miklum ljósagangi og látum. Algjörlega mögnuð terta.,90,231002,https://images.prismic.io/landsbjorg-www/e4c93150-8651-4a00-a5c6-4448baaa3804_2023.12+-+V%C3%ADg+Gr%C3%ADms.png,Víg Gríms Heggssonar,5,99900,3444.827586,1110.0,594.6428571,0.5357142857,168,https://player.vimeo.com/video/891399350,5,29.0
10,"Silfur, Rauður, Blár, Grænn, Gull, Fjólublár","Ein með öllu. Samsett kaka sem skýtur upp beint, í V (blævæng) og í Z. Marglit glitrandi stjörnublóm. Silfraðir pálmar með rauðum endum og bláu leiftri sem breytist yfir í grænt í miðjunni ásamt silfurlituðum flugum sem brakar í. Silfurlituðum pálmablómum með rauðum og bláum kúlum skotið upp í V ásamt brakandi stjörnuglitri. Gulllitaðir pálmar með bláum, fjólubláum, gulum og grænum kúlum. Endar á silfurlituðum stjörnublómum með grænum og rauðum kúlum sem skotið er upp í Z í sannkallaðri stórskotahríð með braki og brestum.",195,171009,https://images.prismic.io/landsbjorg-www/f8030309-70ac-4ef2-98b5-064f31c9ad94_Flugeldar+-+V%C3%ADg+Tuma+Sighvatssonar.png,Víg Tuma Sighvatssonar,5,115900,4829.166667,594.3589744,482.9166667,0.8125,240,https://www.youtube.com/watch?v=Dto6oLBgDBE,5,24.0
